Lokal;ID;Behandling;FDA;Antal;Struktur;Kommentar;ID
Helsingborg_kontroll;1_1.1;Kontroll;död;0;vascular tissue;;1
Helsingborg_kontroll;1_1.2;Kontroll;levande;10;cortex;;1
Helsingborg_kontroll;1_1.3;Kontroll;död;0;vascular tissue;;1
Helsingborg_kontroll;1_1.4;Kontroll;levande;101;pith;;1
Helsingborg_kontroll;1_1.5;Kontroll;levande;55;pith;;1
Helsingborg_kontroll;1_1.6;Kontroll;levande;69;pith;;1
Helsingborg_kontroll;1_1.7;Kontroll;levande;92;pith;;1
Helsingborg_kontroll;1_1.8;Kontroll;levande;81;pith;;1
Helsingborg_kontroll;1_1.9;Kontroll;levande;140;pith;;1
Helsingborg_kontroll;1_1.10;Kontroll;död;0;vascular tissue;;1
Helsingborg_kontroll;1_2.1;Kontroll;levande;12;cortex;;1
Helsingborg_kontroll;1_2.2;Kontroll;levande;22;pith;;1
Helsingborg_kontroll;1_2.3;Kontroll;levande;33;pith;;1
Helsingborg_kontroll;1_2.4;Kontroll;levande;56;pith;;1
Helsingborg_kontroll;1_2.5;Kontroll;levande;50;pith;Grönt sken ;1
Helsingborg_kontroll;1_2.6;Kontroll;levande;38;pith;;1
Helsingborg_kontroll;1_2.7;Kontroll;levande;19;cortex;;1
Helsingborg_kontroll;1_2.8;Kontroll;levande;4;cortex;;1
Helsingborg_kontroll;1_2.9;Kontroll;död;0;cortex;;1
Helsingborg_kontroll;1_2.10;Kontroll;död;0;cortex;;1
Helsingborg_kontroll;1_3.1;Kontroll;död;0;vascular tissue;;1
Helsingborg_kontroll;1_3.2;Kontroll;levande;50;pith;;1
Helsingborg_kontroll;1_3.3;Kontroll;levande;84;pith;;1
Helsingborg_kontroll;1_3.4;Kontroll;levande;65;pith;;1
Helsingborg_kontroll;1_3.5;Kontroll;levande;30;cortex;;1
Helsingborg_kontroll;1_3.6;Kontroll;levande;40;cortex;;1
Helsingborg_kontroll;1_3.7;Kontroll;levande;64;cortex;Grönt sken ;1
Helsingborg_kontroll;1_3.8;Kontroll;levande;52;cortex;Grönt sken ;1
Helsingborg_kontroll;1_3.9;Kontroll;död;0;vascular tissue;;1
Helsingborg_kontroll;1_3.10;Kontroll;död;0;vascular tissue;;1
Helsingborg_kontroll;1_4.1;Kontroll;levande;86;cortex;;1
Helsingborg_kontroll;1_4.2;Kontroll;levande;87;cortex;;1
Helsingborg_kontroll;1_4.3;Kontroll;levande;38;cortex;;1
Helsingborg_kontroll;1_4.4;Kontroll;levande;25;pith;;1
Helsingborg_kontroll;1_4.5;Kontroll;levande;43;pith;;1
Helsingborg_kontroll;1_4.6;Kontroll;levande;62;pith;;1
Helsingborg_kontroll;1_4.7;Kontroll;levande;112;pith;;1
Helsingborg_kontroll;1_4.8;Kontroll;levande;86;pith;;1
Helsingborg_kontroll;1_4.9;Kontroll;levande;34;pith;;1
Helsingborg_kontroll;1_4.10;Kontroll;levande;45;cortex;;1
Helsingborg_kontroll;1_5.1;Kontroll;levande;10;pith;;1
Helsingborg_kontroll;1_5.2;Kontroll;levande;20;cortex;;1
Helsingborg_kontroll;1_5.3;Kontroll;levande;97;pith;;1
Helsingborg_kontroll;1_5.4;Kontroll;levande;87;pith;;1
Helsingborg_kontroll;1_5.5;Kontroll;levande;182;pith;;1
Helsingborg_kontroll;1_5.6;Kontroll;levande;68;pith;;1
Helsingborg_kontroll;1_5.7;Kontroll;levande;122;pith;;1
Helsingborg_kontroll;1_5.8;Kontroll;levande;110;pith;;1
Helsingborg_kontroll;1_5.9;Kontroll;levande;53;cortex;;1
Helsingborg_kontroll;1_5.10;Kontroll;levande;26;cortex;;1
Helsingborg_kontroll;2_1.1;Kontroll;död;0;cortex;;2
Helsingborg_kontroll;2_1.2;Kontroll;levande;9;cortex;Grönt sken ;2
Helsingborg_kontroll;2_1.3;Kontroll;levande;67;cortex;;2
Helsingborg_kontroll;2_1.4;Kontroll;levande;67;cortex;;2
Helsingborg_kontroll;2_1.5;Kontroll;levande;121;cortex;;2
Helsingborg_kontroll;2_1.6;Kontroll;levande;54;cortex;;2
Helsingborg_kontroll;2_1.7;Kontroll;levande;133;pith;;2
Helsingborg_kontroll;2_1.8;Kontroll;levande;139;pith;;2
Helsingborg_kontroll;2_1.9;Kontroll;levande;162;pith;;2
